Среднедушевой_доход,ВВП_на_душу,Уровень_безработицы,Индекс_промпроизводства,Рождаемость,Смертность,Инвестиции,Торговый_оборот,Стаж,Возраст,Количество_детей,Средняя_зарплата
57450.71229516849,439.9355436586002,7.292384358633159,108.596917198618,9.506994382343827,14.458554374685816,2549.149717035629,630.8713518715975,32,21,1,57512.487134893105
47926.03548243223,392.4633682912769,2.8581279738231404,73.21200262098833,10.636280059222525,7.1518847340327305,870.9124309842828,635.8597315405491,15,18,2,52182.03996853627
59715.32807151039,305.9630369920174,6.5346669416032315,94.60555491321307,7.019923901254148,6.848927628147399,1255.0621806250374,357.6811334599133,5,59,0,53031.32496998325
72845.44784612038,235.30632222944263,3.442975284287093,104.51661008787613,6.952363519030065,15.217541484104704,675.3175901930595,584.6054357476705,11,51,2,54030.4610903782
46487.69937914996,369.822331361359,12.507057730119888,102.75751774483757,5.834372338506367,14.52106081640607,1147.6162875203015,257.6570758346983,15,44,3,35893.71800853767
46487.945645762295,339.34853854217494,14.31994433753812,140.39550495970747,5.19918668648887,12.827813904777893,880.8831624721912,263.96456879169085,29,38,2,38138.8468508643
73688.19223261088,389.5193220027732,2.940114178353202,105.24700036851861,6.348151923338562,8.813654485734784,794.740758635135,47.431622106345856,4,41,2,63228.79333443661
61511.52093729363,363.51718016819694,14.416497694792119,84.93918104736984,10.478387520412387,10.876267177977773,1909.4492661001623,650.9302302847796,36,32,2,48548.546291099796
42957.88421097572,404.95527153193353,8.793495791377687,98.56803629366391,7.321637453524348,12.211759756940488,1588.5924815921694,270.40302263858825,23,52,1,43818.681076935594
58138.40065378947,246.4764788439432,5.894353813400361,73.35630499800322,11.540843392693288,8.21231809427766,1068.3733236996154,381.02011303794103,15,42,1,49198.051334249314
43048.734607813065,431.73940656343257,2.9992069785901254,98.79100376054859,10.104141246257685,10.782914025930301,-152.10596797198332,263.45134871075743,44,26,2,50392.80912382851
43014.05369644615,319.75996046923996,8.508115484915432,87.50415914498862,4.094487359685839,14.95699101453004,819.4953883737152,504.27478724952107,3,34,1,38221.68960899938
53629.43407349051,507.5260872625265,12.328702078379733,113.73085413340243,11.96492675266507,17.28191609286765,2351.5137822025417,343.654950892399,32,38,2,57985.224527436665
21300.79633013303,231.0812181910432,11.192124204467076,91.75689588106698,12.43239593677513,11.741695742024348,884.669166680146,204.2774664350576,10,30,1,22382.077388993617
24126.23251230451,473.5963803165249,2.652938149031659,98.2485112630713,7.0184119754954395,15.269465062948296,1551.608786026829,466.2493846279091,40,20,0,44073.17162649432
41565.68706138541,319.7910783462648,2.9477238597827458,90.46663237893395,11.260574628684974,7.257819788237598,1720.9712009763005,184.94049627846573,38,21,3,51691.38190919254
34807.53319498364,234.85819963855516,7.237352674224282,126.08277027779997,7.430505287772403,14.978353723340835,1109.4819579279874,274.38914120267634,22,21,1,38817.70250205094
54713.709988929106,251.61141659456786,5.838776422623263,95.18135850823133,10.293011130245006,10.588154755817557,579.0891840659239,83.96663280608789,14,60,2,47283.651313982205
